Team,Position,Shirt number,Name,Minutes played,Games played,Percentage of games played,Full games played,Percentage of full games played,Games started,Percentage of games started,Games where substituted,Percentage of games where substituted,Yellow Cards,Red Cards,Second Yellows,Goals scored,Penalties scored,Own goals,Goals conceded while player on pitch,Tackles,Interceptions,Recoveries,Clearances,Successful tackles,Unssuccessful tackles,Last man,Successful duels,Duels lost,Successful aerial challenges,Unsuccessful aerial challenges,Offsides,Fouls suffered,Fouls committed,Penalties won,Penalties given away,Handballs committed,Fouls committed per card,Shots,Shots on target,Assists,Successful dribbles,Unsuccessful dribbles,Goals scored,From inside the area,From outside the area,Goals with left foot,Goals with right foot,Penalties scored,Goals scored with header,Goals from set piece,Crosses,Corners,Tackles,Duels,Man-to-man duels,Aerial duels,Passes,Short passes,Long passes,Through balls,Goals scored per attempt
Atlético de Madrid,Defender,21,L. Hernández,49,1,"2,0%",0,"1,0%",1,"2,0%",0,"1,0%",0,0,0,0,0,0,0,0,1,3,2,1,0,0,3,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,4,2,22,19,3,0,0
Atlético de Madrid,Defender,24,J. M. Giménez,54,1,"2,0%",1,"1,0%",1,"2,0%",0,"0,0%",0,0,0,0,0,0,0,0,1,3,4,1,0,0,2,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,3,22,16,5,0,0
Atlético de Madrid,Defender,33,Andrés Solano,2,0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Atlético de Madrid,Defender,35,Francisco Montero,11,0,"22,0%",0,"5,0%",0,"8,0%",0,"16,0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,3,1,0,0
Atlético de Madrid,Defender,54,Manuel Sánchez,0,0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atlético de Madrid,Midfielder,5,Thomas,54,1,"84,0%",0,"43,0%",1,"57,0%",0,"41,0%",0,0,0,0,0,0,1,0,1,4,1,1,1,0,3,2,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,7,5,2,35,32,3,0,0
Atlético de Madrid,Midfielder,6,Koke,68,1,"78,0%",1,"68,0%",1,"76,0%",0,"11,0%",0,0,0,0,0,0,1,0,1,5,1,1,1,0,4,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,8,7,1,51,46,4,0,0
Atlético de Madrid,Midfielder,8,Saúl,79,1,"2,0%",1,"2,0%",1,"2,0%",0,"0,0%",0,0,0,0,0,0,1,0,1,6,2,2,1,0,4,4,3,2,0,1,2,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,2,12,8,4,40,37,3,0,0
Atlético de Madrid,Midfielder,14,Rodrigo,72,1,"89,0%",1,"59,0%",1,"84,0%",0,"30,0%",0,0,0,0,0,0,1,0,1,7,2,2,1,0,4,3,2,1,0,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,11,8,3,51,47,4,0,0
Atlético de Madrid,Midfielder,28,Cristian Rodríguez,0,0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atlético de Madrid,Midfielder,30,Mikel Carro,0,0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atlético de Madrid,Midfielder,32,Borja Garcés,5,0,"1,0%",0,"0,0%",0,"0,0%",0,"1,0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Atlético de Madrid,Midfielder,40,Victor Mollejo,2,0,"8,0%",0,"0,0%",0,"0,0%",0,"8,0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
Atlético de Madrid,Midfielder,47,Joaquín Muñoz,0,0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atlético de Madrid,Midfielder,55,Sergio Camello,1,0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atlético de Madrid,Midfielder,57,Gustavo Assunção,0,0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atlético de Madrid,Forward,7,Griezmann,84,1,"97,0%",1,"81,0%",1,"97,0%",0,"16,0%",0,0,0,0,0,0,1,0,0,3,1,1,0,0,2,3,1,2,0,1,1,0,0,0,0,2,1,0,0,1,0,0,0,0,3,0,0,0,1,2,1,8,5,3,37,34,2,1,0
Atlético de Madrid,Forward,9,Kalinić,19,1,"1,0%",0,"0,0%",0,"1,0%",1,"1,0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,3,0,0,0
Atlético de Madrid,Forward,10,Correa,51,1,"95,0%",0,"14,0%",1,"51,0%",1,"81,0%",0,0,0,0,0,0,1,0,0,3,1,1,1,0,4,5,0,1,0,1,1,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,1,0,1,9,8,1,19,18,1,0,0
Atlético de Madrid,Forward,11,Lemar,48,1,"81,0%",0,"14,0%",1,"57,0%",1,"68,0%",0,0,0,0,0,0,0,0,1,3,0,1,0,0,3,3,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,7,6,1,25,23,1,0,0
Atlético de Madrid,Forward,19,Diego Costa,36,1,"1,0%",0,"1,0%",1,"1,0%",0,"1,0%",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,10,9,0,0,0
Atlético de Madrid,Forward,22,Morata,29,0,"1,0%",0,"0,0%",0,"1,0%",0,"1,0%",0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,2,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,3,3,7,7,0,0,0
Atlético de Madrid,Forward,23,Vitolo,20,1,"51,0%",0,"3,0%",0,"14,0%",1,"49,0%",0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,4,1,8,8,0,0,0
CD Leganés,Goalkeeper,1,Cuéllar,85,1,"2,0%",1,"2,0%",1,"2,0%",0,"0,0%",0,0,0,0,0,0,1,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,27,4,23,0,0
